UNIQUE,UNIQUE_5,COD_6,DESCRIPCION_6
1,1,A,S<= 16 mm2
2,1,B,16 mm2 < S<= 25 mm2
3,1,C,25 mm2 < S<= 50 mm2
4,1,D,50 mm2 < S<= 95 mm2
5,1,E,95 mm2 < S<= 150 mm2
6,1,F,150 mm2 < S<= 240 mm2
7,1,G,240 mm2 < S<= 400 mm2
8,1,H,S> 400 mm2
9,1,I,"S<= 32,4 mm2"
10,1,J,"32,4 mm2 < S<= 56,2 mm2"
11,1,K,"56,2 mm2 < S<= 78,6 mm2"
12,1,L,"78,6 mm2 < S<= 95,1 mm2"
13,1,M,"95,1 mm2 < S<= 116,7 mm2"
14,1,N,"116,7 mm2 < S<= 152,7 mm2"
15,1,O,"152,7 mm2 < S<= 181,6 mm2"
16,1,P,"181,6 mm2 < S<= 242 mm2"
17,1,Q,242 mm2 < S<= 290 mm2
18,1,R,290 mm2 < S<= 400 mm2
19,1,S,400 mm2 < S<= 500 mm2
20,1,T,S > 500 mm2
21,2,A,S<= 16 mm2
22,2,B,16 mm2 < S<= 25 mm2
23,2,C,25 mm2 < S<= 50 mm2
24,2,D,50 mm2 < S<= 95 mm2
25,2,E,95 mm2 < S<= 150 mm2
26,2,F,150 mm2 < S<= 240 mm2
27,2,G,240 mm2 < S<= 400 mm2
28,2,H,S> 400 mm2
29,2,I,"S<= 32,4 mm2"
30,2,J,"32,4 mm2 < S<= 56,2 mm2"
31,2,K,"56,2 mm2 < S<= 78,6 mm2"
32,2,L,"78,6 mm2 < S<= 95,1 mm2"
33,2,M,"95,1 mm2 < S<= 116,7 mm2"
34,2,N,"116,7 mm2 < S<= 152,7 mm2"
35,2,O,"152,7 mm2 < S<= 181,6 mm2"
36,2,P,"181,6 mm2 < S<= 242 mm2"
37,2,Q,242 mm2 < S<= 290 mm2
38,2,R,290 mm2 < S<= 400 mm2
39,2,S,400 mm2 < S<= 500 mm2
40,2,T,S > 500 mm2
41,3,A,S<= 16 mm2
42,3,B,16 mm2 < S<= 25 mm2
43,3,C,25 mm2 < S<= 50 mm2
44,3,D,50 mm2 < S<= 95 mm2
45,3,E,95 mm2 < S<= 150 mm2
46,3,F,150 mm2 < S<= 240 mm2
47,3,G,240 mm2 < S<= 400 mm2
48,3,H,S> 400 mm2
49,3,I,"S<= 32,4 mm2"
50,3,J,"32,4 mm2 < S<= 56,2 mm2"
51,3,K,"56,2 mm2 < S<= 78,6 mm2"
52,3,L,"78,6 mm2 < S<= 95,1 mm2"
53,3,M,"95,1 mm2 < S<= 116,7 mm2"
54,3,N,"116,7 mm2 < S<= 152,7 mm2"
55,3,O,"152,7 mm2 < S<= 181,6 mm2"
56,3,P,"181,6 mm2 < S<= 242 mm2"
57,3,Q,242 mm2 < S<= 290 mm2
58,3,R,290 mm2 < S<= 400 mm2
59,3,S,400 mm2 < S<= 500 mm2
60,3,T,S > 500 mm2
61,4,A,S<= 16 mm2
62,4,B,16 mm2 < S<= 25 mm2
63,4,C,25 mm2 < S<= 50 mm2
64,4,D,50 mm2 < S<= 95 mm2
65,4,E,95 mm2 < S<= 150 mm2
66,4,F,150 mm2 < S<= 240 mm2
67,4,G,240 mm2 < S<= 400 mm2
68,4,H,S> 400 mm2
69,4,I,"S<= 32,4 mm2"
70,4,J,"32,4 mm2 < S<= 56,2 mm2"
71,4,K,"56,2 mm2 < S<= 78,6 mm2"
72,4,L,"78,6 mm2 < S<= 95,1 mm2"
73,4,M,"95,1 mm2 < S<= 116,7 mm2"
