UNIQUE,UNIQUE_4,COD_5,DESCRIPCION_5
1,1,1,Simplex
2,1,2,Dúplex
3,1,3,Tríplex
4,2,1,Simplex
5,2,2,Dúplex
6,2,3,Tríplex
7,3,1,Simplex
8,3,2,Dúplex
9,3,3,Tríplex
10,4,1,Simplex
11,4,2,Dúplex
12,4,3,Tríplex
13,5,1,Simplex
14,5,2,Dúplex
15,5,3,Tríplex
16,6,1,Simplex
17,6,2,Dúplex
18,6,3,Tríplex
19,7,1,Simplex
20,7,2,Dúplex
21,7,3,Tríplex
22,8,1,Simplex
23,8,2,Dúplex
24,8,3,Tríplex
25,9,1,Simplex
26,9,2,Dúplex
27,9,3,Tríplex
28,10,1,Simplex
29,10,2,Dúplex
30,10,3,Tríplex
31,11,1,Simplex
32,11,2,Dúplex
33,11,3,Tríplex
34,12,1,Simplex
35,12,2,Dúplex
36,12,3,Tríplex
37,13,1,Simplex
38,13,2,Dúplex
39,13,3,Tríplex
40,14,1,Simplex
41,14,2,Dúplex
42,14,3,Tríplex
43,15,1,Simplex
44,15,2,Dúplex
45,15,3,Tríplex
46,16,1,Simplex
47,16,2,Dúplex
48,16,3,Tríplex
49,17,1,Simplex
50,17,2,Dúplex
51,17,3,Tríplex
52,18,1,Simplex
53,18,2,Dúplex
54,18,3,Tríplex
55,19,1,Simplex
56,19,2,Dúplex
57,19,3,Tríplex
58,20,1,Simplex
59,20,2,Dúplex
60,20,3,Tríplex
61,21,1,Simplex
62,21,2,Dúplex
63,21,3,Tríplex
64,22,1,Simplex
65,22,2,Dúplex
66,22,3,Tríplex
67,23,1,Simplex
68,23,2,Dúplex
69,23,3,Tríplex
70,24,1,Simplex
71,24,2,Dúplex
72,24,3,Tríplex
73,25,1,Simplex
74,25,2,Dúplex
75,25,3,Tríplex
76,26,1,Simplex
77,26,2,Dúplex
78,26,3,Tríplex
79,27,1,Simplex
80,27,2,Dúplex
81,27,3,Tríplex
82,28,1,Simplex
83,28,2,Dúplex
84,28,3,Tríplex
85,29,1,Simplex
86,29,2,Dúplex
87,29,3,Tríplex
88,30,1,Simplex
89,30,2,Dúplex
90,30,3,Tríplex
91,31,1,Simplex
92,31,2,Dúplex
93,31,3,Tríplex
94,32,1,Simplex
95,32,2,Dúplex
96,32,3,Tríplex
97,33,1,Simplex
98,33,2,Dúplex
99,33,3,Tríplex
100,34,1,Simplex
101,34,2,Dúplex
102,34,3,Tríplex
103,35,1,Simplex
104,35,2,Dúplex
105,35,3,Tríplex
106,36,1,Simplex
107,36,2,Dúplex
108,36,3,Tríplex
109,37,1,Convencional
110,37,2,Blindada
111,37,3,Móvil
112,38,1,Convencional
113,38,2,Blindada
114,38,3,Móvil
115,39,1,Convencional
116,39,2,Blindada
117,39,3,Móvil
118,40,1,Convencional
119,40,2,Blindada
120,40,3,Móvil
121,41,1,Convencional
122,41,2,Blindada
123,41,3,Móvil
124,42,1,Convencional
125,42,2,Blindada
126,42,3,Móvil
127,43,1,Convencional
128,43,2,Blindada
129,43,3,Móvil
130,44,1,Convencional
131,44,2,Blindada
132,44,3,Móvil
133,45,1,Convencional
134,45,2,Blindada
135,45,3,Móvil
136,46,1,Convencional
137,46,2,Blindada
138,46,3,Móvil
139,47,1,Convencional
140,47,2,Blindada
141,47,3,Móvil
142,48,1,Convencional
143,48,2,Blindada
144,48,3,Móvil
145,49,1,Convencional
146,49,2,Blindada
147,49,3,Móvil
148,50,1,Convencional
149,50,2,Blindada
150,50,3,Móvil
151,51,1,Convencional
152,51,2,Blindada
153,51,3,Móvil
154,52,1,Intemperie
155,52,2,Caseta
156,52,3,Local
157,52,4,Subterráneo
158,52,9,Móvil
159,53,0,Posición no utilizada
160,54,0,Posición no utilizada
161,55,0,Posición no utilizada
162,56,0,Posición no utilizada
163,57,0,Posición no utilizada
164,58,1,Equipo medidor de un sistema trifásico de tensión
165,58,2,Equipo medidor de un sistema trifásico de tensión e intensidad.
166,58,3,Equipo medidor de dos sistemas trifásicos de tensión
167,58,4,Equipo medidor de dos sistemas trifásicos de tensión e intensidad.
168,58,5,Equipo medidor de tres o más sistemas trifásicos de tensión o intensidad.
169,58,6,Otros
170,59,1,Equipo medidor de un sistema trifásico de tensión
171,59,2,Equipo medidor de un sistema trifásico de tensión e intensidad.
172,59,3,Equipo medidor de dos sistemas trifásicos de tensión
173,59,4,Equipo medidor de dos sistemas trifásicos de tensión e intensidad.
174,59,5,Equipo medidor de tres o más sistemas trifásicos de tensión o intensidad.
175,59,6,Otros
176,60,1,Equipo medidor de un sistema trifásico de tensión
177,60,2,Equipo medidor de un sistema trifásico de tensión e intensidad.
178,60,3,Equipo medidor de dos sistemas trifásicos de tensión
179,60,4,Equipo medidor de dos sistemas trifásicos de tensión e intensidad.
180,60,5,Equipo medidor de tres o más sistemas trifásicos de tensión o intensidad.
181,60,6,Otros
182,61,1,Equipo medidor de un sistema trifásico de tensión
183,61,2,Equipo medidor de un sistema trifásico de tensión e intensidad.
184,61,3,Equipo medidor de dos sistemas trifásicos de tensión
185,61,4,Equipo medidor de dos sistemas trifásicos de tensión e intensidad.
186,61,5,Equipo medidor de tres o más sistemas trifásicos de tensión o intensidad.
187,61,6,Otros
188,62,1,Equipo medidor de un sistema trifásico de tensión
189,62,2,Equipo medidor de un sistema trifásico de tensión e intensidad.
190,62,3,Equipo medidor de dos sistemas trifásicos de tensión
191,62,4,Equipo medidor de dos sistemas trifásicos de tensión e intensidad.
192,62,5,Equipo medidor de tres o más sistemas trifásicos de tensión o intensidad.
193,62,6,Otros
194,63,1,Equipo medidor de un sistema trifásico de tensión
195,63,2,Equipo medidor de un sistema trifásico de tensión e intensidad.
196,63,3,Equipo medidor de dos sistemas trifásicos de tensión
197,63,4,Equipo medidor de dos sistemas trifásicos de tensión e intensidad.
198,63,5,Equipo medidor de tres o más sistemas trifásicos de tensión o intensidad.
199,63,6,Otros
200,64,0,Condensadores
201,64,1,Reactancias
202,65,0,Condensadores
203,65,1,Reactancias
204,66,0,Condensadores
205,66,1,Reactancias
206,67,0,Condensadores
